Price,Year,Mileage_in_KM,Transmission,Fuel_Type,Title,City_standard,Make_extracted,Model_extracted
2150000,2025.0,10000.0,Automatic,Gas,Volkswagen Tiguan,Cairo,Volkswagen,Tiguan
930000,2021.0,135000.0,Automatic,Gas,MG HS,Cairo,MG,HS
600000,2016.0,165000.0,Automatic,Gas,Opel Astra,Cairo,Opel,Astra
550000,2009.0,220000.0,Automatic,Gas,Toyota Corolla,Cairo,Toyota,Corolla
155000,1998.0,0.0,Manual,Gas,Daihatsu Kancil,Alexandria,Daihatsu,Kancil
145000,1998.0,280000.0,Manual,Diesel,Hyundai Excel,Cairo,Hyundai,Excel
300000,2014.0,140000.0,Manual,Gas,Chevrolet Lanos,Asyut,Chevrolet,Lanos
40000,2013.0,359000.0,Automatic,Diesel,Toyota Land Cruiser 70,North Sinai,Toyota,Land Cruiser 70
780000,2023.0,120000.0,Automatic,Gas,Geely Cool Ray,Cairo,Geely,Cool Ray
340000,2020.0,320.0,Manual,Gas,Lada Granta,Cairo,Lada,Granta
55000,1987.0,185000.0,Manual,Gas,Fiat 127,Cairo,Fiat,127
1180000,2023.0,14300.0,Automatic,Gas,Renault Megane,Beheira,Renault,Megane
1250000,2022.0,0.0,Automatic,Natural Gas,Peugeot 508,Giza,Peugeot,508
320000,2007.0,202000.0,Automatic,Gas,Hyundai Accent,Giza,Hyundai,Accent
1250000,2015.0,153000.0,Automatic,Gas,Chrysler Town & Country,Cairo,Chrysler,Town & Country
66999,2025.0,0.0,Automatic,Diesel,Abarth 595,Unknown,Abarth,595
325,2009.0,0.0,Automatic,Natural Gas,Chevrolet Aveo,Cairo,Chevrolet,Aveo
1200000,2020.0,0.0,Automatic,Gas,Hyundai Tucson GDI,Cairo,Hyundai,Tucson GDI
111111,2022.0,0.0,Automatic,Hybrid,MG 5,Giza,MG,5
700000,2019.0,94000.0,Automatic,Diesel,Renault Duster,Cairo,Renault,Duster
320000,2007.0,19000.0,Manual,Gas,Chevrolet Aveo,Monufia,Chevrolet,Aveo
880000,2020.0,176000.0,Automatic,Gas,Citroën C4 Grand Picasso,Giza,Citroën,C4 Grand Picasso
420000,2018.0,90000.0,Automatic,Gas,Renault Logan,Qalyubia,Renault,Logan
510000,2019.0,11000.0,Automatic,Natural Gas,Geely Imperial,Cairo,Geely,Imperial
590000,2014.0,94000.0,Automatic,Gas,Nissan Qashqai,Alexandria,Nissan,Qashqai
550000,2008.0,250000.0,Automatic,Diesel,Honda Civic,Unknown,Honda,Civic
850000,2021.0,0.0,Automatic,Gas,Opel Crossland,Unknown,Opel,Crossland
370000,2010.0,0.0,Automatic,Natural Gas,Chevrolet Cruze,Cairo,Chevrolet,Cruze
160000,1997.0,450600.0,Manual,Gas,Opel Corsa,Alexandria,Opel,Corsa
890000,2019.0,158000.0,Automatic,Gas,Hyundai Elantra AD,Giza,Hyundai,Elantra AD
310000,2006.0,420.0,Automatic,Natural Gas,Chevrolet Optra,Giza,Chevrolet,Optra
420000,2008.0,252000.0,Automatic,Gas,Toyota GR Corolla,Monufia,Toyota,GR Corolla
1210000,2022.0,100000.0,Automatic,Gas,Toyota Corolla,Giza,Toyota,Corolla
2650000,2023.0,17000.0,Automatic,Hybrid,Kia Sorento,Unknown,Kia,Sorento
1585000,2026.0,0.0,Automatic,Gas,Jetour T1,Unknown,Jetour,T1
1560000,2022.0,72000.0,Automatic,Gas,Hyundai Tucson,Giza,Hyundai,Tucson
1290000,2026.0,0.0,Automatic,Gas,Seat Arona,Unknown,Seat,Arona
